公司名称,职位名称,工作年限,教育程度,城市,薪资,福利,经度,纬度,公司规模,融资,地铁线
北大医疗信息技术有限公司,Python开发工程师,1-3年,本科,北京,6k-12k,"五险一金,绩效奖金,年终奖,补充医疗",116.31312,39.984558,500-2000人,不需要融资,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
北京影谱科技股份有限公司,python开发工程师,3-5年,本科,北京,15k-30k,七险一金，完善福利体系，领导nice，,116.43673,39.940301,50-150人,上市公司,2号线_东直门;2号线_东四十条;13号线_东直门;机场线_东直门
北京流体网络科技有限公司,python开发工程师,3-5年,本科,北京,15k-30k,五险一金、十七薪＋、团建、年会,116.417227,40.032034,50-150人,B轮,5号线_北苑路北;5号线_立水桥南
乐飞天下信息技术(北京)有限公司,中级Python开发工程师（AK）,3-5年,大专,北京,15k-25k,五险一金 带薪假 海外旅游 节假福利,116.480564,39.905094,150-500人,未融资,1号线_大望路;1号线_四惠;7号线_大郊亭;7号线_九龙山;14号线东段_大望路;14号线东段_九龙山
北京悦慧康科技有限公司,Python开发工程师,1-3年,本科,北京,12k-24k,六险一金 交通补贴 专业培训,116.298804,39.925014,50-150人,未融资,6号线_花园桥;6号线_慈寿寺;10号线_西钓鱼台;10号线_慈寿寺
北京右划网络科技有限公司,高级python开发工程师,3-5年,本科,北京,25k-50k,"大牛云集,工程师文化,一年15薪",116.48233,39.997316,150-500人,B轮,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京
华风爱科气象科技（北京）有限公司,Python开发工程师,1-3年,硕士,北京,15k-20k,新的行业，新的起点,116.454645,39.919665,15-50人,不需要融资,1号线_永安里;1号线_国贸;6号线_呼家楼;6号线_东大桥;10号线_呼家楼;10号线_金台夕照;10号线_国贸
前沿驱动（北京）技术有限公司,python开发,1-3年,本科,北京,12k-23k,五险一金、免费班车、餐补、节日福利,116.107148,39.655723,50-150人,A轮,
北京下厨房科技有限公司,Python开发工程师,3-5年,本科,北京,15k-25k,"带薪年假多,免费午餐,弹性工作制",116.372244,40.036528,50-150人,B轮,
颐月信息技术（北京）有限公司,python开发工程师,1-3年,本科,北京,15k-25k,"技术挑战,发展空间,扁平化",116.488953,39.999198,15-50人,A轮,15号线_望京东
非凡维格（北京）信息科技有限公司,python开发工程师,1-3年,本科,北京,15k-30k,"国际产品,弹性工作,开放办公",116.452067,39.914005,15-50人,B轮,1号线_永安里;1号线_国贸;6号线_呼家楼;6号线_东大桥;10号线_呼家楼;10号线_金台夕照;10号线_国贸
中电太极（集团）有限公司,Python开发工程师,3-5年,本科,北京,15k-30k,福利待遇佳，发展空间大,116.374262,39.988638,2000人以上,不需要融资,10号线_牡丹园;10号线_健德门
北京明日虫洞科技有限公司,Python,1-3年,本科,北京,15k-30k,技术团队牛人多&nbsp;核心人员背景强&nbsp;福利好,116.316341,39.977678,50-150人,C轮,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里
北京币世界网络科技有限公司,python开发工程师,3-5年,本科,北京,17k-34k,五险一金 地铁周边,116.489249,39.999156,150-500人,A轮,15号线_望京东
乐飞天下信息技术(北京)有限公司,Python中高级开发工程师,3-5年,大专,北京,15k-28k,五险一金 带薪假 海外旅游 节假福利,116.480564,39.905094,150-500人,未融资,1号线_大望路;1号线_四惠;7号线_大郊亭;7号线_九龙山;14号线东段_大望路;14号线东段_九龙山
北京汇行科技有限公司,Python开发工程师-供应链开发,3-5年,不限,北京,15k-25k,七险一金；大牛带队；上升空间,116.41498,39.948005,150-500人,B轮,2号线_安定门;2号线_雍和宫;5号线_北新桥;5号线_雍和宫;5号线_和平里北街
北京爱特曼科技有限公司,Django研发工程师,1-3年,本科,北京,15k-25k,大牛带队 免费零食 带薪年假,116.374569,40.009393,15-50人,A轮,8号线北段_林萃桥;15号线_北沙滩
北京五八到家信息技术有限公司,Python开发工程师,3-5年,大专,北京,13k-25k,健身房、创业公司,116.416728,40.039781,2000人以上,D轮及以上,5号线_北苑路北;5号线_立水桥南
北京高鸿兴科信息技术有限公司武汉分公司,高级python开发工程师,5-10年,本科,北京,15k-18k,"福利健全,外包岗,五险一金",116.356239,39.979887,50-150人,不需要融资,10号线_知春路;10号线_西土城;10号线_牡丹园;13号线_知春路
北京微步在线科技有限公司,python开发工程师,1-3年,本科,北京,15k-30k,"期权激励,晋升空间,带薪年假,人文关怀",116.308105,39.978662,50-150人,B轮,4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄
北京钱方银通科技有限公司,python开发工程师,3-5年,本科,北京,13k-26k,五险一金、双休、餐补,116.480281,39.996324,150-500人,B轮,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京
北京瑞莱智慧科技有限公司,资深Python工程师,不限,本科,北京,18k-36k,"大牛带队,扁平化管理,弹性工作,高日薪",116.311792,40.036443,15-50人,天使轮,13号线_上地
北京轻松筹网络科技有限公司,python开发工程师（运维方向）-JS,3-5年,本科,北京,15k-25k,技术大咖 五险一金 绩效奖金,116.420161,39.948978,500-2000人,C轮,2号线_安定门;2号线_雍和宫;5号线_北新桥;5号线_雍和宫;5号线_和平里北街;13号线_柳芳
